DISTRICT,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
WANGANUI DISTRICT,Castlecliff/ Gonville/ Wanganui,18,257,2374216.1700000004,2013-09-01,8
WELLINGTON CITY,Lambton/ Seatoun/ Thorndon,3,25,406275.73,2013-09-01,8
WELLINGTON CITY,Kilbirnie,4,57,841759.7599999999,2013-09-01,8
WELLINGTON CITY,Wellington Central,19,296,3800188.77,2013-09-01,8
WELLINGTON CITY,Newtown,3,54,742988.5700000001,2013-09-01,8
WELLINGTON CITY,Island Bay,3,25,279275.94,2013-09-01,8
WELLINGTON CITY,Crofton Downs/ Hataitai/ Miramar/ Newlands,3,52,846551.36,2013-09-01,8
WESTERN BAY OF PLENTY DISTRICT,Katikati,4,52,291169.61,2013-09-01,8
WESTERN BAY OF PLENTY DISTRICT,Te Puke,6,74,767270.6000000001,2013-09-01,8
WESTERN BAY OF PLENTY DISTRICT,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,5,61,361628.1,2013-09-01,8
WESTLAND DISTRICT,Fox Glacier/ Franz Josef/ Hokitika,7,62,443252.69999999995,2013-09-01,8
WHAKATANE DISTRICT,Whakatane Central,8,120,1599921.84,2013-09-01,8
WHAKATANE DISTRICT,Edgecumbe/ Matata/ Te Teko,3,40,303486.12,2013-09-01,8
WHAKATANE DISTRICT,Murupara/ Ohope/ Poroporo,4,47,246695.12,2013-09-01,8
WHANGAREI DISTRICT,Marsden Point/ Ruakaka/ Waipu,3,43,318587.55,2013-09-01,8
WHANGAREI DISTRICT,Hikurangi/ Kamo/ Parua Bay/ Tikipunga,5,58,556857.04,2013-09-01,8
WHANGAREI DISTRICT,Whangarei Central,15,212,2636014.51,2013-09-01,8
ASHBURTON DISTRICT,Ashburton,8,118,2009545.6099999999,2012-09-01,7
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,5,34,290543.95,2012-09-01,7
AUCKLAND CITY,Newton,7,98,884614.44,2012-09-01,7
AUCKLAND CITY,Auckland City,13,174,2685500.76,2012-09-01,7
AUCKLAND CITY,Otahuhu,11,172,2730395.3600000003,2012-09-01,7
AUCKLAND CITY,Onehunga,8,106,1735155.7799999998,2012-09-01,7
AUCKLAND CITY,Royal Oak,4,54,757320.4999999999,2012-09-01,7
BULLER DISTRICT,Westport,6,60,589032.49,2012-09-01,7
BULLER DISTRICT,Cape Foulwind/ Karamea/ Reefton,4,22,185166.44,2012-09-01,7
CARTERTON DISTRICT,Carterton,4,50,373546.95000000007,2012-09-01,7
CENTRAL OTAGO DISTRICT,Alexandra,4,59,410411.43000000005,2012-09-01,7
CENTRAL OTAGO DISTRICT,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,4,17,105707.63,2012-09-01,7
CENTRAL OTAGO DISTRICT,Cromwell,4,52,255189.04000000004,2012-09-01,7
CENTRAL OTAGO DISTRICT,Roxburgh,3,10,49933.659999999996,2012-09-01,7
CHATHAM ISLANDS DISTRICT,Chatham Islands,1,2,42067.82,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Avonhead/ Sockburn/ Upper Riccarton,4,72,1613752.5799999998,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,9,73,487751.62,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,6,42,504745.3,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,48,733567.5800000001,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Addington/ Middleton/ Waltham,4,64,632409.29,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Belfast/ Kainga,3,42,657219.06,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Aranui/ Bromley/ Richmond/ Wainoni,4,72,945476.72,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Halswell,3,45,770228.48,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Riccarton,6,107,1352213.76,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Harewood/ Merivale/ Redwood,6,77,1116971.42,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,North New Brighton/ Parklands/ Waimari Beach,4,63,1061584.97,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Sydenham,5,57,600031.02,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,St Albans,3,54,676641.25,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Hornby,4,72,1031477.57,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Bishopdale,3,54,1459338.77,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Philipstown,3,44,713092.57,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Islington/ Templeton/ West Melton/ Yaldhurst,4,54,857320.05,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Shirley,5,76,1012349.0900000001,2012-09-01,7
