TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
hastings district,Clive/ Flaxmere East/ Havelock North,5,82,785734.3600000001,2012-09-01,7
hauraki district,Waihi,4,57,453709.44000000006,2012-09-01,7
hauraki district,Ngatea/ Paeroa,4,57,570952.9299999999,2012-09-01,7
horowhenua district,Levin,7,120,1613216.5,2012-09-01,7
hurunui district,Hamner Springs,3,25,175669.16,2012-09-01,7
invercargill city,Invercargill Central,10,124,1121549.6900000002,2012-09-01,7
invercargill city,Appleby/ Glengarry/ Strathern,4,72,950230.5,2012-09-01,7
invercargill city,Hawthorndale/ Makarewa/ Waikiwi,3,44,838680.2100000001,2012-09-01,7
kaikoura district,Kaikoura Township,4,48,229040.90000000002,2012-09-01,7
kaipara district,Dargaville,4,37,328950.55000000005,2012-09-01,7
kaipara district,Kaiwaka/ Mangawhai,3,25,212116.21000000002,2012-09-01,7
kaipara district,Maungaturoto/ Paparoa/Ruawai,3,9,34456.61,2012-09-01,7
kapiti coast district,Paraparaumu,6,95,1092196.35,2012-09-01,7
kapiti coast district,Otaki,4,61,433725.77999999997,2012-09-01,7
kapiti coast district,Paekakariki/ Raumati/ Waikanae,4,63,713565.45,2012-09-01,7
kawerau district,Kawerau,4,54,593740.6200000001,2012-09-01,7
lower hutt city,Lower Hutt Central,9,139,1888964.52,2012-09-01,7
lower hutt city,Petone,7,126,1738599.98,2012-09-01,7
lower hutt city,Eastbourne/ Holborn/ Stokes Valley/ Woburn,5,58,573159.11,2012-09-01,7
lower hutt city,Moera/ Taita,3,44,479078.64999999997,2012-09-01,7
lower hutt city,Hutt Central,3,35,334900.99,2012-09-01,7
lower hutt city,Wainuiomata,6,86,843346.5399999999,2012-09-01,7
lower hutt city,Naenae,5,57,822350.7399999999,2012-09-01,7
mackenzie district,Fairlie/ Lake Tekapo/ Twizel,5,41,188244.59,2012-09-01,7
manawatu district,Bunnythorpe/ Longburn/ Rongotea,4,28,109043.33,2012-09-01,7
manawatu district,Fielding,6,90,662042.5100000001,2012-09-01,7
manukau city,Howick,9,144,2404634.57,2012-09-01,7
manukau city,Highland Park/ Beachlands-Maretai/ Whitford,4,48,344716.33,2012-09-01,7
manukau city,Papatoetoe,8,102,1976645.63,2012-09-01,7
manukau city,Manurewa,10,153,3268025.4699999997,2012-09-01,7
manukau city,Mangere Bridge,3,39,1044658.7600000001,2012-09-01,7
manukau city,Manukau City,14,207,4238345.0600000005,2012-09-01,7
manukau city,Clendon/ Mangere East/ Wiri,3,41,951477.71,2012-09-01,7
manukau city,Otara,3,54,783542.12,2012-09-01,7
manukau city,Mangere,4,63,1012610.4,2012-09-01,7
manukau city,Pakuranga,4,62,1071586.31,2012-09-01,7
manukau city,East Tamaki/ Flat Bush,3,36,816606.84,2012-09-01,7
marlborough district,Blenheim,10,163,1889676.63,2012-09-01,7
marlborough district,Picton,5,51,290663.6,2012-09-01,7
marlborough district,Havelock/ Renwick/ Seddon/ Spring Creek,5,46,225791.84000000003,2012-09-01,7
masterton district,Masterton,7,107,1051543.2699999998,2012-09-01,7
matamata-piako district,Matamata,4,62,629441.2,2012-09-01,7
matamata-piako district,Morrinsville,4,52,426778.35000000003,2012-09-01,7
matamata-piako district,Tahuna/ Te Aroha/ Waihou-Walton,6,59,455318.2899999999,2012-09-01,7
napier city,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,7,90,600013.2200000001,2012-09-01,7
napier city,Maraenui/ Onekawa/ Westshore,3,45,596980.7799999999,2012-09-01,7
napier city,Taradale,4,68,1044423.52,2012-09-01,7
nelson city,Nelson Central,12,181,1900842.39,2012-09-01,7
nelson city,Port Nelson/ Stoke/ Tahunanui/ The Wood,5,58,618163.97,2012-09-01,7
new plymouth district,New Plymouth Central,17,242,2851573.83,2012-09-01,7
new plymouth district,Waitara,4,49,459320.99,2012-09-01,7
new plymouth district,Inglewood/ Oakura/ Okato,3,28,218345.84999999998,2012-09-01,7
new plymouth district,Bell Block/ Fitzroy/ Urenui,4,50,600918.13,2012-09-01,7
north shore city,Albany,9,112,1426895.5,2012-09-01,7
north shore city,Browns Bay,6,86,776721.44,2012-09-01,7
north shore city,Greenhithe/ Northcote,3,45,378073.68,2012-09-01,7
north shore city,Belmont/ Devonport/ Milford,4,70,463597.73,2012-09-01,7
north shore city,Takapuna Central,7,111,1489488.26,2012-09-01,7
north shore city,Birkenhead,4,40,560262.53,2012-09-01,7
opotiki district,Opotiki/ Te Kaha,5,65,648105.89,2012-09-01,7
otorohanga district,Kawhia/ Otorohanga,3,32,243719.58000000002,2012-09-01,7
palmerston north city,Ashhurst/ Palmerston North Central,30,428,4355445.14,2012-09-01,7
papakura district,Drury/ Papakura/ Takanini,13,212,3280982.34,2012-09-01,7
porirua city,Porirua/ Judgeford,9,133,2304752.51,2012-09-01,7
porirua city,Plimmerton/ Mana-Camborne/ Whitby,3,20,333932.55000000005,2012-09-01,7
porirua city,Cannon’s Creek/ Titihi Bay/  Waitangirua,4,36,563283.06,2012-09-01,7
queenstown-lakes district,Wanaka,4,38,238140.3,2012-09-01,7
rangitikei district,Bulls,3,33,261242.39,2012-09-01,7
rangitikei district,Marton,5,50,429476.85,2012-09-01,7
rodney district,Orewa,5,71,843594.23,2012-09-01,7
rodney district,Huapai/ Kumeu/ Riverhead,3,42,365471.84,2012-09-01,7
rodney district,Snell’s Beach/ Wellsford,3,33,316611.93000000005,2012-09-01,7
rodney district,Helensville/ Kaukapakapa/ Parakai,4,37,244469.11999999997,2012-09-01,7
rodney district,Warkworth,3,44,405187.74,2012-09-01,7
rodney district,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1122911.3499999999,2012-09-01,7
rotorua district,Rotorua Central,18,288,4096824.52,2012-09-01,7
rotorua district,Fenton Park/ Mangakakahi/ Pukehangi,4,56,489195.61,2012-09-01,7
rotorua district,Ngongotaha/ Selwyn Heights,4,37,351452.85,2012-09-01,7
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,371625.85000000003,2012-09-01,7
ruapehu district,Taumarunui Central,3,45,424175.03,2012-09-01,7
