TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,30,230922.87,2013-06-01,31
waimakariri district,Rangiora,6,72,931107.34,2013-06-01,31
waimate district,Waimate,5,34,229108.81999999998,2013-06-01,31
waipa district,Kihikihi/ Pirongia/ Te Awamutu,9,123,1108898.7299999997,2013-06-01,31
waipa district,Cambridge,6,95,897253.7299999999,2013-06-01,31
wairoa district,Mahia Beach/ Wairoa,4,58,646216.48,2013-06-01,31
waitaki district,Oamaru,6,83,787668.35,2013-06-01,31
waitaki district,Kurow/ Omarama/ Otematata,7,40,180958.88,2013-06-01,31
whanganui district,Castlecliff/ Gonville/ Wanganui,18,257,2369610.82,2013-06-01,31
wellington city,Wellington Central,17,269,3718337.1199999996,2013-06-01,31
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,3,52,760632.21,2013-06-01,31
wellington city,Johnsonville/Tawa South,7,108,1303107.98,2013-06-01,31
western bay of plenty district,Katikati,4,52,321085.16000000003,2013-06-01,31
western bay of plenty district,Te Puke,6,78,765387.6500000001,2013-06-01,31
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,5,61,343869.7,2013-06-01,31
westland district,Fox Glacier/ Franz Josef/ Hokitika,7,62,411901.82999999996,2013-06-01,31
whakatane district,Edgecumbe/ Matata/ Te Teko,3,40,297412.01,2013-06-01,31
ashburton district,Ashburton,8,120,1323366.64,2014-06-01,31
ashburton district,Hinds/ Methven/ Rakaia,5,34,195618.63,2014-06-01,31
auckland,Newton,7,93,918718,2014-06-01,31
auckland,Otahuhu,10,154,2481958.47,2014-06-01,31
auckland,Onehunga,8,106,1731500.3399999999,2014-06-01,31
auckland,Epsom/ Mt Eden/ Parnell,4,43,1034579.3400000002,2014-06-01,31
auckland,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,5,46,1018417.5800000001,2014-06-01,31
auckland,Point Chevalier,5,76,723456.3400000001,2014-06-01,31
auckland,Balmoral/ Glen Innes/ Kingsland,5,79,1642195.5,2014-06-01,31
auckland,Panmure,5,76,1104355.98,2014-06-01,31
auckland,Avondale/ Grey Lynn/ Herne Bay,7,82,833187.11,2014-06-01,31
buller district,Westport,6,62,538235.67,2014-06-01,31
buller district,Cape Foulwind/ Karamea/ Reefton,4,22,109195.9,2014-06-01,31
carterton district,Carterton,4,50,285504.12,2014-06-01,31
central hawke's bay district,Ongaonga/ Otane/ Waipawa/Waipukurau,5,49,502036.50999999995,2014-06-01,31
central otago district,Alexandra,4,57,402664,2014-06-01,31
central otago district,Cromwell,4,52,260708.42,2014-06-01,31
chatham islands district,Chatham Islands,1,2,47678.619999999995,2014-06-01,31
clutha district,Kaitangata/ Milton/ Owaka,4,28,143722.43000000002,2014-06-01,31
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,15,75744.54000000001,2014-06-01,31
clutha district,Balclutha,3,34,281924.77,2014-06-01,31
dunedin city,Concord/ Kew/ Mornington,3,45,463475.89999999997,2014-06-01,31
dunedin city,Mosgiel,5,62,642793.3099999999,2014-06-01,31
dunedin city,St Kilda,3,51,484308.15,2014-06-01,31
far north district,Kaitaia,4,63,755628.2000000001,2014-06-01,31
far north district,Paihia,5,70,728128.5700000001,2014-06-01,31
far north district,Kaikohe,5,74,961095.22,2014-06-01,31
far north district,Hukerenui/Kawakawa/ Moerewa/ Opua/ Russell,5,39,282436.44999999995,2014-06-01,31
gisborne district,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,13,192,2288349.82,2014-06-01,31
gore district,Gore/ Mataura,7,85,733556.5100000001,2014-06-01,31
hamilton city,Claudelands,3,45,588090.85,2014-06-01,31
hamilton city,Frankton,4,57,573586.69,2014-06-01,31
hamilton city,Hamilton Central,15,226,2398485.79,2014-06-01,31
hamilton city,Dinsdale/ Hillcrest/ Pukete,3,45,634121.79,2014-06-01,31
hamilton city,Glenview/ hamilton East,3,39,329010.36,2014-06-01,31
hamilton city,Nawton/ Te Rapa,3,54,968449.97,2014-06-01,31
hastings district,Hastings Central,16,247,3042753.2900000005,2014-06-01,31
hastings district,Clive/ Flaxmere East/ Havelock North,5,82,787632.7400000001,2014-06-01,31
horowhenua district,Levin,8,138,1612375.57,2014-06-01,31
horowhenua district,Foxton/Mangaore-Manakau/ Shannon,4,44,255657.90000000002,2014-06-01,31
invercargill city,Appleby/ Glengarry/ Strathern,4,72,954835.15,2014-06-01,31
invercargill city,Bluff/Clifton/ Newfield/ Richmond,5,62,838358.75,2014-06-01,31
kaipara district,Dargaville,4,34,374404.98000000004,2014-06-01,31
kapiti coast district,Paraparaumu,6,95,979467.89,2014-06-01,31
kapiti coast district,Otaki,4,61,430110.18999999994,2014-06-01,31
kapiti coast district,Paekakariki/ Raumati/ Waikanae,4,63,753092.2,2014-06-01,31
kawerau district,Kawerau,4,54,491577.5,2014-06-01,31
lower hutt city,Lower Hutt Central,4,54,720122.0199999999,2014-06-01,31
lower hutt city,Petone,6,111,1492669.72,2014-06-01,31
lower hutt city,Wainuiomata,5,68,840959.2200000001,2014-06-01,31
mackenzie district,Fairlie/ Lake Tekapo/ Twizel,5,41,178722.19999999998,2014-06-01,31
marlborough district,Blenheim,9,147,1712754.6999999997,2014-06-01,31
marlborough district,Picton,6,56,289015.95999999996,2014-06-01,31
marlborough district,Havelock/ Renwick/ Seddon/ Spring Creek,5,46,257311.14999999997,2014-06-01,31
masterton district,Masterton,5,84,820809.9199999999,2014-06-01,31
matamata-piako district,Matamata,4,62,484793.7,2014-06-01,31
matamata-piako district,Morrinsville,4,52,383366.63,2014-06-01,31
matamata-piako district,Tahuna/ Te Aroha/ Waihou-Walton,6,59,398924.98,2014-06-01,31
napier city,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,7,90,650519.24,2014-06-01,31
napier city,Maraenui/ Onekawa/ Westshore,3,45,627106.98,2014-06-01,31
napier city,Taradale,4,68,1014212.6299999999,2014-06-01,31
napier city,Napier City/Marewa,7,117,1544813.58,2014-06-01,31
nelson city,Nelson Central,11,177,1805922.7899999996,2014-06-01,31
nelson city,Port Nelson/ Stoke/ Tahunanui/ The Wood,3,45,549489.4199999999,2014-06-01,31
new plymouth district,New Plymouth Central,15,212,2653841.0700000003,2014-06-01,31
new plymouth district,Bell Block/ Fitzroy/ Urenui,4,50,630108.76,2014-06-01,31
opotiki district,Opotiki/ Te Kaha,5,69,686406.3899999999,2014-06-01,31
porirua city,Cannon’s Creek/ Titihi Bay/  Waitangirua,3,27,204726.43,2014-06-01,31
queenstown-lakes district,Wanaka,4,37,225360.93,2014-06-01,31
queenstown-lakes district,Arrowtown/ Frankton/Queenstown,7,70,440874.89,2014-06-01,31
rotorua district,Rotorua Central,16,252,3728574.1000000006,2014-06-01,31
rotorua district,Fenton Park/ Mangakakahi/ Pukehangi,4,56,485241.73,2014-06-01,31
rotorua district,Ngongotaha/ Selwyn Heights,4,37,400227.68,2014-06-01,31
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,292833.12999999995,2014-06-01,31
ruapehu district,Taumarunui Central,3,45,358974.23,2014-06-01,31
ruapehu district,Ohakune/ Raetihi/ Waioru,4,51,278604.39,2014-06-01,31
south taranaki district,Hawera/Patea/Waverley,7,87,920261.1000000001,2014-06-01,31
south taranaki district,Eltham/Kaponga/Manaia/Opunake,5,43,300582.2,2014-06-01,31
south waikato district,Tokoroa,8,133,1189306.9,2014-06-01,31
south waikato district,Putaruru/ Tirau,3,27,307683.3,2014-06-01,31
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,6,21,113922.86000000002,2014-06-01,31
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,4,15,70462.52,2014-06-01,31
southland district,Te Anau,3,30,171801.7,2014-06-01,31
stratford district,Stratford,5,49,328762.94999999995,2014-06-01,31
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,4,22,97259.91,2014-06-01,31
tasman district,Richmond,5,86,958795.4299999999,2014-06-01,31
tauranga city,Tauranga Central,22,319,4149106.41,2014-06-01,31
tauranga city,Mt Maunganui,10,135,1860683.1300000004,2014-06-01,31
tauranga city,Greerton/ Papamoa,5,66,1027201.4199999999,2014-06-01,31
thames-coromandel district,Coromandel,4,34,202886.21999999997,2014-06-01,31
thames-coromandel district,Thames,7,82,810417.5700000001,2014-06-01,31
thames-coromandel district,Whangamata,4,66,521117.29,2014-06-01,31
timaru district,Geraldine,4,32,241367.41999999998,2014-06-01,31
timaru district,Temuka,5,51,359768.66,2014-06-01,31
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,10,148,2199428.93,2014-06-01,31
waikato district,Ngaruwahia,4,50,327777.21,2014-06-01,31
waikato district,Huntly,4,59,558016.52,2014-06-01,31
waikato district,Raglan/ Taupiri/ Whatawhata,4,50,309088.49000000005,2014-06-01,31
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,30,201426.77,2014-06-01,31
waimakariri district,Rangiora,6,72,861430.41,2014-06-01,31
waimate district,Waimate,6,37,238903.56,2014-06-01,31
waipa district,Kihikihi/ Pirongia/ Te Awamutu,8,122,1150029.24,2014-06-01,31
waipa district,Cambridge,6,95,773338.3899999999,2014-06-01,31
wairoa district,Mahia Beach/ Wairoa,4,58,591298.6799999999,2014-06-01,31
waitaki district,Oamaru,6,83,806338.1399999999,2014-06-01,31
waitaki district,Kurow/ Omarama/ Otematata,7,40,155390.31,2014-06-01,31
whanganui district,Castlecliff/ Gonville/ Wanganui,15,227,2078810.89,2014-06-01,31
wellington city,Wellington Central,18,270,3776330.9000000004,2014-06-01,31
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,3,52,829979.51,2014-06-01,31
wellington city,Johnsonville/Tawa South,6,95,1458114.49,2014-06-01,31
western bay of plenty district,Katikati,4,52,356151.72000000003,2014-06-01,31
western bay of plenty district,Te Puke,6,74,652991.97,2014-06-01,31
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,5,61,375731.66,2014-06-01,31
westland district,Fox Glacier/ Franz Josef/ Hokitika,7,62,410411.15,2014-06-01,31
whakatane district,Edgecumbe/ Matata/ Te Teko,3,40,313438.18,2014-06-01,31
ashburton district,Ashburton,7,102,1337130.28,2015-06-01,31
ashburton district,Hinds/ Methven/ Rakaia,5,33,225012.75999999998,2015-06-01,31
auckland,Newton,6,72,942266.9300000002,2015-06-01,31
auckland,Otahuhu,10,154,2880324.25,2015-06-01,31
auckland,Onehunga,8,106,1697792.1400000001,2015-06-01,31
auckland,Epsom/ Mt Eden/ Parnell,3,36,1161972.2800000003,2015-06-01,31
auckland,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,5,46,1105338.7999999998,2015-06-01,31
auckland,Point Chevalier,5,76,765691.5999999999,2015-06-01,31
auckland,Balmoral/ Glen Innes/ Kingsland,5,79,1898501.64,2015-06-01,31
auckland,Panmure,5,76,1175803.81,2015-06-01,31
auckland,Avondale/ Grey Lynn/ Herne Bay,7,82,937602.17,2015-06-01,31
buller district,Westport,5,57,450445.53,2015-06-01,31
buller district,Cape Foulwind/ Karamea/ Reefton,4,22,111014.98,2015-06-01,31
carterton district,Carterton,4,50,245921.87,2015-06-01,31
central hawke's bay district,Ongaonga/ Otane/ Waipawa/Waipukurau,6,58,458895.94,2015-06-01,31
central otago district,Alexandra,4,56,392534.62,2015-06-01,31
central otago district,Cromwell,4,52,309631.11,2015-06-01,31
chatham islands district,Chatham Islands,1,2,42157.33,2015-06-01,31
clutha district,Kaitangata/ Milton/ Owaka,4,24,141804.53999999998,2015-06-01,31
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,15,75763.82,2015-06-01,31
clutha district,Balclutha,3,34,261689.12,2015-06-01,31
dunedin city,Concord/ Kew/ Mornington,3,45,535974.1499999999,2015-06-01,31
dunedin city,Mosgiel,5,64,626432.7999999999,2015-06-01,31
dunedin city,St Kilda,3,42,499092.66000000003,2015-06-01,31
far north district,Kaitaia,4,63,797451.64,2015-06-01,31
far north district,Paihia,4,63,687500.7899999999,2015-06-01,31
far north district,Kaikohe,5,74,984559.1399999999,2015-06-01,31
far north district,Hukerenui/Kawakawa/ Moerewa/ Opua/ Russell,5,39,332413.80000000005,2015-06-01,31
gisborne district,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,14,209,2390226.71,2015-06-01,31
gore district,Gore/ Mataura,7,85,702728.26,2015-06-01,31
hamilton city,Claudelands,3,45,617411.26,2015-06-01,31
hamilton city,Frankton,4,57,598010.54,2015-06-01,31
hamilton city,Hamilton Central,14,217,2422361.62,2015-06-01,31
hamilton city,Dinsdale/ Hillcrest/ Pukete,3,45,631238.46,2015-06-01,31
hamilton city,Glenview/ hamilton East,3,39,394280.20999999996,2015-06-01,31
hamilton city,Nawton/ Te Rapa,3,54,1049499.11,2015-06-01,31
hastings district,Hastings Central,15,236,3281520.599999999,2015-06-01,31
hastings district,Clive/ Flaxmere East/ Havelock North,4,64,810878.78,2015-06-01,31
horowhenua district,Levin,8,138,1644454.1,2015-06-01,31
horowhenua district,Foxton/Mangaore-Manakau/ Shannon,4,44,252817.43,2015-06-01,31
invercargill city,Appleby/ Glengarry/ Strathern,4,72,980334.86,2015-06-01,31
invercargill city,Bluff/Clifton/ Newfield/ Richmond,5,62,893590.4199999999,2015-06-01,31
kaipara district,Dargaville,4,34,380049.45999999996,2015-06-01,31
kapiti coast district,Paraparaumu,6,95,966389.4899999999,2015-06-01,31
kapiti coast district,Otaki,4,61,440620.98,2015-06-01,31
kapiti coast district,Paekakariki/ Raumati/ Waikanae,4,63,766039.45,2015-06-01,31
kawerau district,Kawerau,4,54,560915.49,2015-06-01,31
lower hutt city,Lower Hutt Central,3,45,856967.47,2015-06-01,31
lower hutt city,Petone,6,111,1504265.7800000003,2015-06-01,31
lower hutt city,Wainuiomata,5,68,816875.0499999999,2015-06-01,31
mackenzie district,Fairlie/ Lake Tekapo/ Twizel,5,41,186037.13,2015-06-01,31
marlborough district,Blenheim,9,147,1767060.35,2015-06-01,31
marlborough district,Picton,6,59,274122.10000000003,2015-06-01,31
marlborough district,Havelock/ Renwick/ Seddon/ Spring Creek,5,43,228011.79,2015-06-01,31
masterton district,Masterton,5,84,835183.4500000001,2015-06-01,31
matamata-piako district,Matamata,4,62,474351.22,2015-06-01,31
matamata-piako district,Morrinsville,4,50,447418.79,2015-06-01,31
matamata-piako district,Tahuna/ Te Aroha/ Waihou-Walton,6,59,388079.23999999993,2015-06-01,31
napier city,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,6,89,753763.72,2015-06-01,31
napier city,Maraenui/ Onekawa/ Westshore,3,45,721118.84,2015-06-01,31
napier city,Taradale,4,68,1102891.7,2015-06-01,31
napier city,Napier City/Marewa,4,72,1255557.27,2015-06-01,31
nelson city,Nelson Central,10,159,1761900.7799999998,2015-06-01,31
nelson city,Port Nelson/ Stoke/ Tahunanui/ The Wood,3,39,555429.8800000001,2015-06-01,31
new plymouth district,New Plymouth Central,13,195,2605722.68,2015-06-01,31
new plymouth district,Bell Block/ Fitzroy/ Urenui,4,47,625876.77,2015-06-01,31
opotiki district,Opotiki/ Te Kaha,5,69,697932.1900000001,2015-06-01,31
porirua city,Cannon’s Creek/ Titihi Bay/  Waitangirua,3,27,263006.73,2015-06-01,31
queenstown-lakes district,Wanaka,3,25,249639.91000000003,2015-06-01,31
queenstown-lakes district,Arrowtown/ Frankton/Queenstown,7,70,501287.04,2015-06-01,31
rotorua district,Rotorua Central,17,270,3726013.83,2015-06-01,31
rotorua district,Fenton Park/ Mangakakahi/ Pukehangi,4,56,533811.03,2015-06-01,31
rotorua district,Ngongotaha/ Selwyn Heights,3,34,382119.64,2015-06-01,31
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,240522.5,2015-06-01,31
ruapehu district,Taumarunui Central,3,45,351569.82,2015-06-01,31
ruapehu district,Ohakune/ Raetihi/ Waioru,4,51,261759.63999999998,2015-06-01,31
south taranaki district,Hawera/Patea/Waverley,5,78,943677.5900000001,2015-06-01,31
south taranaki district,Eltham/Kaponga/Manaia/Opunake,5,43,257766.55000000002,2015-06-01,31
south waikato district,Tokoroa,8,133,1369022.84,2015-06-01,31
south waikato district,Putaruru/ Tirau,4,45,348983.94,2015-06-01,31
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,6,21,95843.21,2015-06-01,31
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,4,15,75954.64,2015-06-01,31
southland district,Te Anau,3,30,183917.44,2015-06-01,31
stratford district,Stratford,5,49,350683.57,2015-06-01,31
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,3,14,62918.71,2015-06-01,31
tasman district,Richmond,5,86,975332.88,2015-06-01,31
tauranga city,Tauranga Central,22,331,4533893.45,2015-06-01,31
tauranga city,Mt Maunganui,10,135,1965953.82,2015-06-01,31
tauranga city,Greerton/ Papamoa,3,45,901870.3199999998,2015-06-01,31
thames-coromandel district,Coromandel,4,34,193551.08000000002,2015-06-01,31
thames-coromandel district,Thames,7,82,853212.0700000001,2015-06-01,31
thames-coromandel district,Whangamata,4,66,590875.8200000001,2015-06-01,31
timaru district,Geraldine,4,32,196995.33,2015-06-01,31
timaru district,Temuka,5,51,341264.65,2015-06-01,31
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,10,148,2290264.0300000003,2015-06-01,31
waikato district,Ngaruwahia,4,50,407242.74,2015-06-01,31
waikato district,Huntly,4,59,591198.6799999999,2015-06-01,31
waikato district,Raglan/ Taupiri/ Whatawhata,4,50,300714.98,2015-06-01,31
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,30,246585.79,2015-06-01,31
waimakariri district,Rangiora,6,72,943168.49,2015-06-01,31
waimate district,Waimate,6,29,250063.94,2015-06-01,31
waipa district,Kihikihi/ Pirongia/ Te Awamutu,8,122,1217419.69,2015-06-01,31
waipa district,Cambridge,7,104,756431.54,2015-06-01,31
wairoa district,Mahia Beach/ Wairoa,4,58,633417.4099999999,2015-06-01,31
waitaki district,Oamaru,5,77,795068.06,2015-06-01,31
waitaki district,Kurow/ Omarama/ Otematata,7,40,181710.34000000003,2015-06-01,31
whanganui district,Castlecliff/ Gonville/ Wanganui,16,235,2416588.8600000003,2015-06-01,31
wellington city,Wellington Central,17,278,3779265.6600000006,2015-06-01,31
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,3,52,761872.59,2015-06-01,31
wellington city,Johnsonville/Tawa South,6,95,1608742.94,2015-06-01,31
western bay of plenty district,Katikati,4,52,340878.38,2015-06-01,31
western bay of plenty district,Te Puke,6,74,693641.91,2015-06-01,31
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,5,61,345257.70999999996,2015-06-01,31
westland district,Fox Glacier/ Franz Josef/ Hokitika,7,62,404749.69999999995,2015-06-01,31
whakatane district,Edgecumbe/ Matata/ Te Teko,3,35,232231.84,2015-06-01,31
ashburton district,Ashburton,7,102,1294288.1,2016-06-01,31
ashburton district,Hinds/ Methven/ Rakaia,5,33,231359.95999999996,2016-06-01,31
auckland,Newton,5,72,990594.8299999998,2016-06-01,31
auckland,Otahuhu,10,154,3169921.5500000003,2016-06-01,31
auckland,Onehunga,8,106,1756594.83,2016-06-01,31
auckland,Epsom/ Mt Eden/ Parnell,3,36,1279501.06,2016-06-01,31
auckland,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,5,46,1120225.75,2016-06-01,31
auckland,Point Chevalier,5,76,963923.8700000001,2016-06-01,31
auckland,Balmoral/ Glen Innes/ Kingsland,5,78,1941149.05,2016-06-01,31
auckland,Panmure,4,62,1073841.09,2016-06-01,31
auckland,Avondale/ Grey Lynn/ Herne Bay,7,82,918452.06,2016-06-01,31
buller district,Westport,5,57,355863.27,2016-06-01,31
buller district,Cape Foulwind/ Karamea/ Reefton,3,19,136070.04,2016-06-01,31
carterton district,Carterton,3,45,334308.8300000001,2016-06-01,31
central hawke's bay district,Ongaonga/ Otane/ Waipawa/Waipukurau,5,54,481726.94,2016-06-01,31
central otago district,Alexandra,4,60,438641.18,2016-06-01,31
central otago district,Cromwell,4,52,319188.97,2016-06-01,31
chatham islands district,Chatham Islands,1,2,41902.82,2016-06-01,31
clutha district,Kaitangata/ Milton/ Owaka,4,25,200481.74000000002,2016-06-01,31
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,15,64896.030000000006,2016-06-01,31
clutha district,Balclutha,3,34,299823.5,2016-06-01,31
dunedin city,Concord/ Kew/ Mornington,3,45,550596.75,2016-06-01,31
dunedin city,Mosgiel,5,64,645699.18,2016-06-01,31
dunedin city,St Kilda,3,43,537026.7999999999,2016-06-01,31
far north district,Kaitaia,4,63,872209.13,2016-06-01,31
far north district,Paihia,4,63,719370.7,2016-06-01,31
far north district,Kaikohe,5,74,1062146.78,2016-06-01,31
far north district,Hukerenui/Kawakawa/ Moerewa/ Opua/ Russell,5,39,352098.22000000003,2016-06-01,31
