SOCIETY_NAME,VENUE_NAME,VENUE_PHYSICAL_ADDRESS,TERRITORIAL_AUTHORITY,COUNT_OF_EGM
MAINLAND FOUNDATION LIMITED,Trader McKendrys,"38-40 FITZHERBERT AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
MAINLAND FOUNDATION LIMITED,The Daily,"511 MAIN STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301
NEW ZEALAND",PALMERSTON NORTH CITY,18
New Zealand Community Trust,ALBERT SPORTS BAR,"692-700 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
New Zealand Community Trust,Princess Tavern,"789 MAIN STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
PALMERSTON NORTH COSMOPOLITAN CLUB,PALMERSTON NORTH COSMOPOLITAN CLUB,"22 LINTON STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4410
NEW ZEALAND",PALMERSTON NORTH CITY,18
PUB CHARITY LIMITED,WILLOW PARK TAVERN,"820 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
PUB CHARITY LIMITED,THE STUNNED MULLET,"1 THE SQUARE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
PUB CHARITY LIMITED,CLOVERLEA NEIGHBOURHOOD TAVERN,"301 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
PUB CHARITY LIMITED,THE ROYAL HOTEL,"44-54 RANGITIKEI STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
THE LION FOUNDATION (2008),THE OFFICE,"514-516 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
THE LION FOUNDATION (2008),Railway Hotel and Legends Bar,"271-275 MAIN STREET WEST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
AIR RESCUE SERVICES LIMITED,Metro Bar,"5 LYDNEY PLACE
PORIRUA
WELLINGTON 6006",PORIRUA CITY,18
INFINITY FOUNDATION LIMITED,North City Tenpin,"35 KENEPURU DRIVE
PORIRUA
WELLINGTON 6006",PORIRUA CITY,18
New Zealand Community Trust,SANDBAR PUB,"103 MANA ESPLANADE
MANA-CAMBORNE
PORIRUA 6006",PORIRUA CITY,18
New Zealand Community Trust,THE MARINER,"19 WHITEHOUSE ROAD
TITAHI BAY
PORIRUA 6006",PORIRUA CITY,18
PELORUS TRUST,Blend N Brew Bar,"SHOP 2 10 COBHAM COURT
PORIRUA
WELLINGTON 6006",PORIRUA CITY,18
Porirua Club Inc,PORIRUA CLUB,"LODGE PLACE
PORIRUA
WELLINGTON 6006",PORIRUA CITY,18
TRUST HOUSE FOUNDATION,THE LEDGE,"1 Serlby Place
PORIRUA
WELLINGTON 5022
NEW ZEALAND",PORIRUA CITY,18
THE LION FOUNDATION (2008),WANAKA BULLOCK BAR,"71 ARDMORE STREET
WANAKA
OTAGO 9305",QUEENSTOWN-LAKES DISTRICT,18
PUB CHARITY LIMITED,Rangitikei Tavern,"148 BRIDGE STREET BULLS
BULLS
MANAWATU 4818
NEW ZEALAND",RANGITIKEI DISTRICT,18
THE LION FOUNDATION (2008),CLUB HOTEL MARTON,"17 HIGH STREET
MARTON
MANAWATU 5460",RANGITIKEI DISTRICT,18
DRAGON COMMUNITY TRUST LIMITED,H2O Gaming & Sports Bar,"318 MALFROY ROAD
HILLCREST
ROTORUA DISTRICT 3201",ROTORUA DISTRICT,18
FOUR WINDS FOUNDATION LIMITED,Crates n Cues Bar,"1237 PUKUATUA STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,18
GRASSROOTS TRUST LIMITED,THE SIDEPOCKET BAR,"1129 HINEMOA STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,18
INFINITY FOUNDATION LIMITED,THE FENTONS BAR,"1295 FENTON STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,18
New Zealand Community Trust,MO'S BAR,"1142-1144 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,18
New Zealand Community Trust,KASPERS SPORTS BAR,"1302 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,18
One Foundation Limited,The Outlaw Bar,"1153 Arawa Street
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND",ROTORUA DISTRICT,18
One Foundation Limited,RUCK N MAUL,"1279 AMOHIA STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,18
One Foundation Limited,Four Winds Tavern,"Te Ngae Shopping Centre
Te Ngae Road
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND",ROTORUA DISTRICT,18
Racing Industry Transition Agency ,TAB Rotorua,"1156 ERUERA STREET
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND",ROTORUA DISTRICT,18
ROTORUA CITIZENS CLUB INC,ROTORUA CITIZENS CLUB,"Corner Arawa & Rangiuru Streets
1146 Rangiuru Street
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND",ROTORUA DISTRICT,18
THE LION FOUNDATION (2008),VC'S TURF BAR,"1184 ARAWA STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,18
THE LION FOUNDATION (2008),MITCHELL DOWNS TAVERN,"12 GOLDIE STREET
PUKEHANGI
ROTORUA DISTRICT 3201",ROTORUA DISTRICT,18
THE SOUTHERN TRUST,Barcode,"1232 Arawa Street
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND",ROTORUA DISTRICT,18
THE SOUTHERN TRUST,Vault Bar,"1122 HINEMOA STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,18
TAUMARUNUI & DISTRICT R S A CLUB INC,TAUMARUNUI RSA CLUB,"10 MARAE STREET
TAUMARUNUI CENTRAL
TAUMARUNUI 3946
NEW ZEALAND",RUAPEHU DISTRICT,18
TAUMARUNUI COSMOPOLITAN CLUB INC,TAUMARUNUI COSMOPOLITAN CLUB,"CORNER KATARINA AND MIRIAMA STREETS
TAUMARUNUI CENTRAL
TAUMARUNUI 3920
NEW ZEALAND",RUAPEHU DISTRICT,18
PUB CHARITY LIMITED,ROLLY INN,"2 BROOKSIDE ROAD
ROLLESTON
CANTERBURY 8004",SELWYN DISTRICT,18
Masse Incorporated,Masse Hawera,"PRINCES STREET
HAWERA
TARANAKI 4800",SOUTH TARANAKI DISTRICT,18
PELORUS TRUST,THE LOCAL SPORTS BAR & TAB,"110 PRINCES STREET
HAWERA
TARANAKI 4800",SOUTH TARANAKI DISTRICT,18
SOUTH TARANAKI CLUB INC,SOUTH TARANAKI CLUB,"43 CALEDONIA STREET
HAWERA
TARANAKI 4800",SOUTH TARANAKI DISTRICT,18
GRASSROOTS TRUST LIMITED,H2O TOKOROA,"233 LEITH PLACE
TOKOROA
WAIKATO 3420",SOUTH WAIKATO DISTRICT,18
One Foundation Limited,THE TREES TAVERN,"CORNER BALMORAL DRIVE AND BROWNING STREET
TOKOROA
WAIKATO 3420",SOUTH WAIKATO DISTRICT,18
PUB CHARITY LIMITED,Retox Sports Bar,"204-206 ROSEBERY STREET
TOKOROA
WAIKATO 3420",SOUTH WAIKATO DISTRICT,18
THE SOUTHERN TRUST,PUTARURU HOTEL,"79 PRINCES STREET
PUTARURU
WAIKATO 2371",SOUTH WAIKATO DISTRICT,18
TOKOROA CLUB INCORPORATED,TOKOROA CLUB,"53 CHAMBERS STREET
TOKOROA
WAIKATO 3420
NEW ZEALAND",SOUTH WAIKATO DISTRICT,18
TOKOROA COSMOPOLITAN CLUB INCORPORATED,TOKOROA COSMOPOLITAN CLUB,"275 BALMORAL DRIVE
TOKOROA
WAIKATO 3420",SOUTH WAIKATO DISTRICT,18
New Zealand Community Trust,EMPIRE HOTEL,"CORNER BROADWAY AND FENTON STREETS
STRATFORD
TARANAKI 4352",STRATFORD DISTRICT,18
DANNEVIRKE SERVICES AND CITIZENS CLUB INC,DANNEVIRKE SERVICES AND CITIZENS CLUB,"1 PRINCESS STREET
DANNEVIRKE
MANAWATU 5491",TARARUA DISTRICT,18
INFINITY FOUNDATION LIMITED,MERRYLEES HOTEL,"CORNER HALL AND STATION STREETS
DANNEVIRKE
MANAWATU 5491",TARARUA DISTRICT,18
THE SOUTHERN TRUST,Saigon Restaurant and Bar,"2 Barraud Street
DANNEVIRKE
MANAWATU 4930
NEW ZEALAND",TARARUA DISTRICT,18
CLUB WAIMEA INCORPORATED ,CLUB WAIMEA,"345 QUEEN STREET
RICHMOND
NELSON 7020
NEW ZEALAND",TASMAN DISTRICT,18
PUB CHARITY LIMITED,Armadillos Bar Restaurant & Functions Centre,"183 QUEEN STREET
RICHMOND
NELSON 7002",TASMAN DISTRICT,18
PUB CHARITY LIMITED,STAR AND GARTER TAVERN,"LEVEL 1 252 QUEEN STREET
RICHMOND
NELSON 7002",TASMAN DISTRICT,18
PUB CHARITY LIMITED,POST OFFICE HOTEL MOTUEKA,"122 HIGH STREET
MOTUEKA
TASMAN DISTRICT 7160",TASMAN DISTRICT,18
THE LION FOUNDATION (2008),MOTUEKA HOTEL,"77 HIGH STREET
MOTUEKA
TASMAN DISTRICT 7160",TASMAN DISTRICT,18
TRILLIAN TRUST,THE STABLES,"1 MCGLASHEN AVENUE
RICHMOND
NELSON 7002",TASMAN DISTRICT,18
PELORUS TRUST,Turangi Tavern,"17 OHUANGA ROAD
TURANGI
TAUPO DISTRICT 3353",TAUPO DISTRICT,18
TAUPO COSMOPOLITAN CLUB INC,TAUPO COSMOPOLITAN CLUB,"5 TANIWHA STREET
TAUPO
TAUPO DISTRICT 3351",TAUPO DISTRICT,18
THE LION FOUNDATION (2008),dbar,"22-26 TUWHARETOA STREET
TAUPO
TAUPO DISTRICT 3351",TAUPO DISTRICT,18
YOUTHTOWN INCORPORATED,LUCKY LIZARD,"32 RICHMOND AVENUE
TAUPO
TAUPO DISTRICT 3330
NEW ZEALAND",TAUPO DISTRICT,18
YOUTHTOWN INCORPORATED,FINN MACCUHALS,"CORNER TONGARIRO AND TUWHARETOA STREETS
TAUPO
TAUPO DISTRICT 3351",TAUPO DISTRICT,18
CLUB MOUNT MAUNGANUI INCORPORATED,CLUB MOUNT MAUNGANUI,"45 KAWAKA STREET
MT MAUNGANUI
BAY OF PLENTY 3116
NEW ZEALAND",TAURANGA DISTRICT,18
DRAGON COMMUNITY TRUST LIMITED,H2O Bar Tauranga,"104 DEVONPORT ROAD
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
GRASSROOTS TRUST LIMITED,TENPIN TAURANGA,"135 THIRTEENTH AVENUE
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
GRASSROOTS TRUST LIMITED,THE GEE C,"1315 CAMERON ROAD
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
GRASSROOTS TRUST LIMITED,The Flying Mullet Ale House,"4/38 GRAVATT ROAD
PAPAMOA
BAY OF PLENTY 3118
NEW ZEALAND",TAURANGA DISTRICT,18
INFINITY FOUNDATION LIMITED,ROSIE O'GRADYS IRISH PUB,"2 RATA STREET
MT MAUNGANUI
BAY OF PLENTY 3150",TAURANGA DISTRICT,18
MOUNT MAUNGANUI RETURNED SERVICES ASSOCIATION INCORPORATED,MOUNT MAUNGANUI RETURNED SERVICES ASSOCIATION,"544 MAUNGANUI ROAD
MT MAUNGANUI
BAY OF PLENTY 3150",TAURANGA DISTRICT,18
New Zealand Community Trust,CITY SPORTS BAR,"20 HAMILTON STREET
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
New Zealand Community Trust,LA MEXICA,"109 The Strand
TAURANGA CENTRAL
TAURANGA 3110
NEW ZEALAND",TAURANGA DISTRICT,18
New Zealand Community Trust,CHEERS TAVERN,"15 OWENS PLACE
MT MAUNGANUI
BAY OF PLENTY 3150",TAURANGA DISTRICT,18
New Zealand Community Trust,JUDEA TAVERN,"35 KOROMIKO STREET
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
One Foundation Limited,CRUZAZ BAR CAFE,"265 OTUMOETAI ROAD
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
PUB CHARITY LIMITED,MARTY'S POOL BAR,"19 ELIZABETH STREET
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
PUB CHARITY LIMITED,AJ'S MAUNGATAPU,"285 MAUNGATAPU ROAD
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
PUB CHARITY LIMITED,RENNERS BAR,"1339 CAMERON ROAD
TAURANGA CENTRAL
TAURANGA 3112
NEW ZEALAND",TAURANGA DISTRICT,18
TAURANGA CITIZENS CLUB INC,TAURANGA CITIZENS CLUB,"170 THIRTEENTH AVENUE
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
TAURANGA RETURNED SERVICES ASSOCIATION INC,TAURANGA RSA,"1237 CAMERON ROAD
GREERTON
BAY OF PLENTY 3001",TAURANGA DISTRICT,18
THE LION FOUNDATION (2008),WELCOME BAY SPORTS BAR,"250 WELCOME BAY ROAD
TAURANGA CENTRAL
TAURANGA 3001",TAURANGA DISTRICT,18
THE LION FOUNDATION (2008),Jack Dusty’s Ale House,"50 BURETA ROAD
TAURANGA CENTRAL
TAURANGA 3001
NEW ZEALAND",TAURANGA DISTRICT,18
MERCURY BAY CLUB INC,MERCURY BAY CLUB INC.,"CORNER COOK DRIVE AND CAMPBELL STREET
WHITIANGA
WAIKATO 3510",THAMES-COROMANDEL DISTRICT,18
New Zealand Community Trust,PUNTERS SPORTS BAR,"719 POLLEN STREET
THAMES
WAIKATO 2801",THAMES-COROMANDEL DISTRICT,18
PUB CHARITY LIMITED,Frankies Sports Bar & Grill,"37 ALBERT STREET
WHITIANGA
WAIKATO 3510",THAMES-COROMANDEL DISTRICT,18
PUB CHARITY LIMITED,WHITIANGA HOTEL,"1 BLACKSMITH LANE
WHITIANGA
WAIKATO 3510",THAMES-COROMANDEL DISTRICT,18
THE LION FOUNDATION (2008),The Junction Bar,"700 POLLEN STREET
THAMES
WAIKATO 3500
NEW ZEALAND",THAMES-COROMANDEL DISTRICT,18
THE LION FOUNDATION (2008),BUCKS SPORTS BAR & GRILL,"100 CASEMENT ROAD
WHANGAMATA
WAIKATO 2982",THAMES-COROMANDEL DISTRICT,18
WHANGAMATA CLUB INCORPORATED,WHANGAMATA CLUB INCORPORATED,"404 PORT ROAD
WHANGAMATA
WAIKATO 2982",THAMES-COROMANDEL DISTRICT,18
PUB CHARITY LIMITED,GROSVENOR HOTEL,"26 CAINS TERRACE
TIMARU
TIMARU 7910",TIMARU DISTRICT,18
PUB CHARITY LIMITED,RICHARD PEARSE TAVERN,"118 LE CREN STREET
TIMARU
TIMARU 7910",TIMARU DISTRICT,18
TIMARU TOWN & COUNTRY CLUB INC,TIMARU TOWN & COUNTRY CLUB,"99 DOUGLAS STREET
TIMARU
TIMARU 7910",TIMARU DISTRICT,18
TRUST AORAKI LIMITED,OLD BANK CAFE AND BAR,"232 STAFFORD STREET
TIMARU
TIMARU 7910",TIMARU DISTRICT,18
TRUST AORAKI LIMITED,CROWN HOTEL,"64 KING STREET
TEMUKA
CANTERBURY 7986",TIMARU DISTRICT,18
PELORUS TRUST,Seven Bar Ltd,"3 KING STREET
UPPER HUTT CENTRAL
UPPER HUTT 6007",UPPER HUTT CITY,18
THE LION FOUNDATION (2008),TOTE PUB & PIZZA FURNACE,"74 ARARINO STREET
TRENTHAM
UPPER HUTT 6007",UPPER HUTT CITY,18
TRUST HOUSE FOUNDATION,RIMUTAKA TAVERN,"1223-1253 FERGUSSON DRIVE
UPPER HUTT CENTRAL
UPPER HUTT 6007",UPPER HUTT CITY,18
YOUTHTOWN INCORPORATED,QUINN'S POST TAVERN,"2 WARD STREET
UPPER HUTT CENTRAL
UPPER HUTT 6007",UPPER HUTT CITY,18
GRASSROOTS TRUST LIMITED,RED FOX TAVERN,"MONUMENT ROAD
MARAMARUA
WAIKATO 1872",WAIKATO DISTRICT,18
GRASSROOTS TRUST LIMITED,DELTA HOTEL,"2 MARKET STREET
NGARUAWAHIA
WAIKATO 3720",WAIKATO DISTRICT,18
New Zealand Community Trust,Elsie's Restaurant & Bar,"3 GEORGE STREET
TUAKAU
FRANKLIN 1892",WAIKATO DISTRICT,18
PUB CHARITY LIMITED,MCGINTY'S TURF & SPORTS BAR,"66 MAIN STREET
HUNTLY
WAIKATO 3700",WAIKATO DISTRICT,18
RAGLAN CLUB INCORPORATED,RAGLAN CLUB INCORPORATED,"22-24 BOW STREET
RAGLAN
WAIKATO 2051",WAIKATO DISTRICT,18
THE LION FOUNDATION (2008),ESSEX ARMS,"151 MAIN STREET
HUNTLY
WAIKATO 3700",WAIKATO DISTRICT,18
THE SOUTHERN TRUST,MUDDY WATERS IRISH PUB,"RIVERBANK ROAD
MERCER
FRANKLIN 1871",WAIKATO DISTRICT,18
THE SOUTHERN TRUST,HARBOUR VIEW HOTEL,"14 BOW STREET
RAGLAN
WAIKATO 2051",WAIKATO DISTRICT,18
CERT Your Local Gaming Trust Limited,KAIKANUI TAVERN,"67 WILLIAMS STREET
KAIAPOI
CANTERBURY 7630",WAIMAKARIRI DISTRICT,18
KAIAPOI WORKINGMENS CLUB & M S A INC,KAIAPOI WMC AND MSA,"113 RAVEN STREET
KAIAPOI
CANTERBURY 7630
NEW ZEALAND",WAIMAKARIRI DISTRICT,18
PUB CHARITY LIMITED,Mainstreet Sports Bar,"37 HIGH STREET
RANGIORA
CANTERBURY 7400",WAIMAKARIRI DISTRICT,18
RANGIORA RETURNED SERVICES ASSOCIATION CLUB INC,RANGIORA RSA CLUB,"82 VICTORIA STREET
RANGIORA
CANTERBURY 7400",WAIMAKARIRI DISTRICT,18
THE SOUTHERN TRUST,Brook Bar,"16 SOUTHBROOK ROAD
RANGIORA
CANTERBURY 7400",WAIMAKARIRI DISTRICT,18
THE SOUTHERN TRUST,PLOUGH HOTEL,"398 HIGH STREET
RANGIORA
CANTERBURY 7400",WAIMAKARIRI DISTRICT,18
GRASSROOTS TRUST LIMITED,5 STAGS LEAMINGTON,"CORNER BURNS AND CAMPBELL STREETS
CAMBRIDGE
WAIKATO 3434",WAIPA DISTRICT,18
GRASSROOTS TRUST LIMITED,THE FIRKIN SPORTS  BAR,"SHOP 1 235 SLOANE STREET
TE AWAMUTU
WAIKATO 3800",WAIPA DISTRICT,18
GRASSROOTS TRUST LIMITED,JOY'S PLACE,"44 ALEXANDRA STREET
TE AWAMUTU
WAIKATO 3800",WAIPA DISTRICT,18
GRASSROOTS TRUST LIMITED,STAR TAVERN,"58 LYON STREET
KIHIKIHI
WAIKATO 3800",WAIPA DISTRICT,18
Milestone Foundation Limited,Peach and Porker,"CORNER ALEXANDRA AND ROCHE STREETS
TE AWAMUTU
WAIKATO 3800",WAIPA DISTRICT,18
PUB CHARITY LIMITED,MASONIC HOTEL (CAMBRIDGE),"68-72 DUKE STREET
CAMBRIDGE
WAIKATO 3434",WAIPA DISTRICT,18
TE AWAMUTU & DISTRICT MEMORIAL RSA INCORPORATED,TE AWAMUTU & DISTRICT MEMORIAL RSA,"381 ALEXANDRA STREET
TE AWAMUTU
WAIKATO 3800",WAIPA DISTRICT,18
TRILLIAN TRUST,Group One Turf Bar,"75 Duke Street
CAMBRIDGE
WAIKATO 3434
NEW ZEALAND",WAIPA DISTRICT,18
TRILLIAN TRUST,PRINCE ALBERT TAVERN,"75 VICTORIA STREET
CAMBRIDGE
WAIKATO 3434",WAIPA DISTRICT,18
WAIPA WORKINGMENS CLUB INCORPORATED,WAIPA WORKINGMENS CLUB INC,"137 ALBERT PARK DRIVE
TE AWAMUTU
WAIKATO 3800",WAIPA DISTRICT,18
FIRST LIGHT COMMUNITY FOUNDATION LIMITED,Clyde Sports Bar,"MARINE PARADE
WAIROA
HAWKES BAY 4192",WAIROA DISTRICT,18
FIRST LIGHT COMMUNITY FOUNDATION LIMITED,FERRY HOTEL,"CAROLL STREET
WAIROA
HAWKES BAY 4192",WAIROA DISTRICT,18
OAMARU CLUB INCORPORATED,OAMARU CLUB,"32 SEVERN STREET
OAMARU
OAMARU 9400",WAITAKI DISTRICT,18
YOUTHTOWN INCORPORATED,GALLEON COMPLEX,"500 THAMES HIGHWAY
OAMARU
OAMARU 9400",WAITAKI DISTRICT,18
GRASSROOTS TRUST LIMITED,THE MUSTER BAR,"34-36 TAUPIRI STREET
TE KUITI
WAIKATO 2500",WAITOMO DISTRICT,18
WAITOMO CLUB INCORPORATED,WAITOMO CLUB INCORPORATED,"KING STREET
TE KUITI
WAIKATO 2500",WAITOMO DISTRICT,18
INFINITY FOUNDATION LIMITED,MIDTOWN MOTOR INN (WANGANUI),"321 VICTORIA AVENUE
WANGANUI
WANGANUI DISTRICT 4540",WANGANUI DISTRICT,18
New Zealand Community Trust,STELLAR BAR,"2 VICTORIA STREET
WANGANUI
WANGANUI DISTRICT 4540",WANGANUI DISTRICT,18
New Zealand Community Trust,SHOTZ,"75 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540",WANGANUI DISTRICT,18
New Zealand Community Trust,TANDOORI SPICE BAR,"88 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540",WANGANUI DISTRICT,18
ST JOHN'S CLUB INC,ST JOHN'S CLUB,"158 GLASGOW STREET
WANGANUI
WANGANUI DISTRICT 4500
NEW ZEALAND",WANGANUI DISTRICT,18
WANGANUI EAST CLUB INC,WANGANUI EAST CLUB,"101 WAKEFIELD STREET
WANGANUI
WANGANUI DISTRICT 4540",WANGANUI DISTRICT,18
FOUR WINDS FOUNDATION LIMITED,BROOKLYN BAR & BISTRO,"55 CLEVELAND STREET
BROOKLYN
WELLINGTON 6002",WELLINGTON CITY,18
FOUR WINDS FOUNDATION LIMITED,THE CORNER,"CORNER BAY AND RONGOTAI ROADS
KILBIRNIE
WELLINGTON 6022",WELLINGTON CITY,18
FOUR WINDS FOUNDATION LIMITED,MERMAID BAR,"73-75 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
INFINITY FOUNDATION LIMITED,NEWTOWN SPORTS BAR,"34 CONSTABLE STREET
NEWTOWN
WELLINGTON 6004",WELLINGTON CITY,18
INFINITY FOUNDATION LIMITED,BAY 66 BAR & BISTRO,"66 BAY ROAD
KILBIRNIE
WELLINGTON 6022",WELLINGTON CITY,18
JOHNSONVILLE CLUB INCORPORATED,JOHNSONVILLE CLUB,"1 NORMAN LANE
JOHNSONVILLE
WELLINGTON 6004",WELLINGTON CITY,18
New Zealand Community Trust,Leroy’s Saloon,"PLIMMER LANE
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
New Zealand Community Trust,THE CUTTING SPORTS CAFE,"32 MIRAMAR AVENUE
MIRAMAR
WELLINGTON 6003",WELLINGTON CITY,18
New Zealand Community Trust,CORNER BAR 169,"169 WILLIS STREET
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
New Zealand Community Trust,The Residence,"SHOP 1 120 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
New Zealand Community Trust,JJ MURPHYS,"119 CUBA STREET
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
New Zealand Community Trust,FEATHERSTON BAR & GRILL,"GROUND FLOOR AGRICULTURAL HOUSE 132 FEATHERSTON STREET
LAMBTON
WELLINGTON 6001",WELLINGTON CITY,18
New Zealand Community Trust,LOVELOCKS SPORTS BAR,"8-12 BOND STREET
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
One Foundation Limited,CLOCKWORKS,"191 MAIN ROAD
TAWA SOUTH
WELLINGTON 6006",WELLINGTON CITY,18
One Foundation Limited,LOCAL BAR,"3-5 STRATHMORE AVENUE
STRATHMORE
WELLINGTON 6022",WELLINGTON CITY,18
One Foundation Limited,THE OFFICE CAFE & BAR,"124 RIDDIFORD STREET
NEWTOWN
WELLINGTON 6004",WELLINGTON CITY,18
PELORUS TRUST,Newlands Arms,"1 BATCHELOR STREET
NEWLANDS
WELLINGTON 6004",WELLINGTON CITY,18
PUB CHARITY LIMITED,1841 BAR & RESTAURANT,"1 DISRAELI STREET
JOHNSONVILLE
WELLINGTON 6004",WELLINGTON CITY,18
Racing Industry Transition Agency ,TAB TRAX,"PLATFORM 1 WELLINGTON RAILWAY STATION BUNNY STREET
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
Racing Industry Transition Agency ,TAB COURTENAY PLACE,"SHOP 2, 89 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011
NEW ZEALAND",WELLINGTON CITY,18
THE LION FOUNDATION (2008),THE PICKLE JAR,"5 PARKVALE ROAD
KARORI
WELLINGTON 6005",WELLINGTON CITY,18
THE LION FOUNDATION (2008),Zoo Bar,"227 RIDDIFORD STREET
NEWTOWN
WELLINGTON 6004",WELLINGTON CITY,18
THE LION FOUNDATION (2008),The Realm Bar & Grill,"7-11 MOXHAM AVENUE
HATAITAI
WELLINGTON 6003",WELLINGTON CITY,18
THE LION FOUNDATION (2008),FOUR KINGS,"52 TARANAKI STREET
TE ARO
WELLINGTON 6001",WELLINGTON CITY,18
THE LION FOUNDATION (2008),TURBO BAR,"20-32 Rongotai Road
KILBIRNIE
WELLINGTON 6022
NEW ZEALAND",WELLINGTON CITY,18
THE LION FOUNDATION (2008),CAMBRIDGE HOTEL,"28 CAMBRIDGE TERRACE
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
THE LION FOUNDATION (2008),HOTEL BRISTOL,"127-133 CUBA STREET
WELLINGTON CENTRAL
WELLINGTON 6011",WELLINGTON CITY,18
THE TRUSTS COMMUNITY FOUNDATION LIMITED,THE INNKEEPER OF JOHNSONVILLE,"11-13 BRODERICK ROAD
JOHNSONVILLE
WELLINGTON 6004",WELLINGTON CITY,18
TRUST HOUSE FOUNDATION,THE ISLAND BAY BAR,"132-134 THE PARADE
ISLAND BAY
WELLINGTON 6002",WELLINGTON CITY,18
TRUST HOUSE FOUNDATION,888 Sports Bar & Restaurant,"207-209 MAIN ROAD
TAWA SOUTH
WELLINGTON 6006",WELLINGTON CITY,18
THE LION FOUNDATION (2008),TE PUNA TAVERN,"15 MINDEN ROAD
TE PUNA
BAY OF PLENTY 3021",WESTERN BAY OF PLENTY DISTRICT,18
THE LION FOUNDATION (2008),Stadium Sports Bar,"91 JELLICOE STREET
TE PUKE
BAY OF PLENTY 3071",WESTERN BAY OF PLENTY DISTRICT,18
THE LION FOUNDATION (2008),TE PUKE HOTEL,"110 JELLICOE STREET
TE PUKE
BAY OF PLENTY 3071",WESTERN BAY OF PLENTY DISTRICT,18
AIR RESCUE SERVICES LIMITED,RAILWAY HOTEL,"34 WELD STREET
HOKITIKA
WESTLAND 7900",WESTLAND DISTRICT,18
GRASSROOTS TRUST LIMITED,WHAKATANE HOTEL,"79 THE STRAND
WHAKATANE CENTRAL
WHAKATANE 3080",WHAKATANE DISTRICT,18
New Zealand Community Trust,COBB & CO,"81 THE STRAND
WHAKATANE CENTRAL
WHAKATANE 3080",WHAKATANE DISTRICT,18
